T,acc
1,0.8872100000000002
2,0.96684
3,0.9829100000000001
4,0.9868000000000002
5,0.9905200000000001
6,0.99204
7,0.9939
8,0.9953999999999998
9,0.9962
10,0.9964500000000001
11,0.99727
12,0.9972200000000001
13,0.99756
14,0.99771
15,0.99781
