T,acc
1,0.7819899916648865
2,0.8911100029945374
3,0.9373800158500671
4,0.9601100087165833
5,0.9730399966239929
6,0.9811200022697448
7,0.9865399956703186
8,0.9898499965667724
9,0.9921300053596497
10,0.9936199903488159
11,0.994979989528656
12,0.995800006389618
13,0.9964699983596802
14,0.9970100164413452
15,0.997540009021759
16,0.997760009765625
17,0.9979699850082397
18,0.9981799960136414
19,0.9982900023460388
20,0.9984500050544739
