K,acc
2,0.9819800019264221
3,0.964460015296936
4,0.9500199913978576
5,0.9373800158500671
6,0.9258000016212463
8,0.903630006313324
10,0.8855100035667419
15,0.8428400039672852
20,0.8109500050544739
40,0.7186500072479248
60,0.6603799939155579
80,0.616290009021759
100,0.5839499950408935
