T,acc
1,0.9053599994182587
2,0.9591399968862536
3,0.9824600127935413
4,0.9901600089073186
5,0.9921200073957449
6,0.9931800065040595
8,0.9960500037670142
10,0.9970900027751932
15,0.9977400021553049
