K,acc
2,0.9929499999999999
3,0.9864599999999999
4,0.9806099999999999
5,0.97515
6,0.96965
8,0.9596899999999999
10,0.9508899999999999
15,0.9295
20,0.9085699999999999
40,0.8468599999999998
60,0.8030200000000001
80,0.7661399999999999
100,0.7360800000000001
