K,acc
2,0.9955200060605998
3,0.9914400002956392
4,0.9877160005569458
5,0.9836640021800998
6,0.9792360018491746
8,0.971876002192497
10,0.9645920025110243
15,0.9491439976692199
20,0.9344159977436064
40,0.887488001704216
60,0.849667997956276
80,0.8221040014028549
100,0.7969400008916854
