K,acc
2,0.9953099999999999
3,0.9902899999999999
4,0.9863199999999999
5,0.9816900000000001
6,0.9778600000000001
8,0.9696899999999999
10,0.9606899999999999
15,0.9441599999999999
20,0.9294800000000001
40,0.8835
60,0.85199
80,0.8248
100,0.80297
