K,acc
2,0.9949300000000001
3,0.9898299999999999
4,0.98695
5,0.9829100000000001
6,0.9787000000000001
8,0.9704499999999999
10,0.9636799999999999
15,0.9490000000000001
20,0.9382400000000001
40,0.898
60,0.8709
80,0.84605
100,0.82757
